ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visit,Vessel Name,Line,Vessel Class,I/B Vyg,O/B Vyg,Phase,Est. Time of Berth,ETD,ETA,ATA,ATD,ATB,Service,Vessel Loa M,BEAM M,Berthside,Bollard Fore,Bollard Fore offset,Bollard Aft,Bollard Aft offset,Draft Forward,Draft Aft,Est Disch,Previous Port,Next Port,EST Loading,Additional Moves,Total Moves,vessel berth,Bollard Fore Meter,Bollard Aft Meter,"LOA Check (Fore-Aft, m)"
V1001,TS SINGAPORE,TSL,TSSN,TSGP2606W,TSGP2606W,Inbound,02-09-2026 0800,04-09-2026 1900,30-08-2026 1900,,,,ADHOC,260,32,Starboardside,291,0,31,0,,,0,,JIB,0,0,0,R1,291,31,260
V1002,DANIEL A,ARL,DANI,IRS03W26,IRS03W26,Inbound,03-09-2026 0200,04-09-2026 0500,03-09-2026 0001,,,,TRI-NB,155,24.5,Portside,1044,0,1199,0,,,500,AQJ,NSA,657,0,1157,R4,1044,1199,-155
V1003,MSC SIMONA,MSC,SIMO,IS634R,IS634R,Inbound,03-09-2026 1600,05-09-2026 1900,03-09-2026 1400,,,,ADHOC,366,51,Starboardside,850,0,484,0,16.6,16.6,2136,AKI,JIB,2898,0,5034,R3,850,484,366
V1004,CMA CGM PELLEAS,CMA,CCPE,0MXOYE1MA,0MXOYE1MA,Inbound,04-09-2026 0900,05-09-2026 1400,04-09-2026 0700,,,,MEDEX-E,350,42,Portside,946,0,1297,0,,,1129,,PIR,1200,0,2329,R4,946,1297,-351
V1005,CMA CGM MAPUTO,CMA,CMAP,PHXSSSE19,PHXSSSE19,Inbound,04-09-2026 2100,06-09-2026 0700,04-09-2026 1900,,,,MED5,175,27,Starboardside,248,0,73,0,,,394,,SHK,1375,0,1769,R1,248,73,175
V1006,CMA CGM APOLLON,CMA,APOL,RX2030E19,RX2030E19,Working,02-09-2026 1800,03-09-2026 2000,28-08-2026 2300,31-08-2026 0350,03-09-2026 2000,31-08-2026 0320,RES2EB,366,42,Starboardside,850,0,484,0,14.2,14.2,2888,JIB,SOK,1586,0,4474,R3,850,484,366
V1007,CUL HUMEN,CUL,CHMN,CUHM2635W,CUHM2635W,Working,01-09-2026 1000,03-09-2026 0300,01-09-2026 0300,01-09-2026 1032,03-09-2026 0300,01-09-2026 1000,REX-2,184,30,Portside,1030,0,1213,0,9.1,9.5,746,PKG,SOK,642,0,1388,R4,1030,1213,-183
V1008,LONG OCEAN,MSC,LONG,LONG0609,LONG0609,Working,05-09-2026 0600,06-09-2026 1800,04-09-2026 2200,05-09-2026 0530,06-09-2026 1800,05-09-2026 0600,MAINLINE,300,38,Portside,900,0,600,0,12.5,12.8,1800,MCT,JED,2200,0,4000,R2,900,600,300
V1009,WEEKEND STAR,TSL,WEEK,WEEK0609,WEEK0609,Inbound,06-09-2026 0400,07-09-2026 0800,06-09-2026 0100,,,,REGIONAL,250,34,Starboardside,350,0,100,0,10.2,10.5,950,KHI,JIB,800,0,1750,R2,350,100,250
V1010,HARBOUR GIANT,CMA,GIANT,GIANT0709,GIANT0709,Working,07-09-2026 1000,08-09-2026 1600,06-09-2026 2000,07-09-2026 0900,08-09-2026 1600,07-09-2026 1000,MEDEX,350,44,Portside,1050,0,700,0,13.8,14.1,2400,SIN,PIR,2600,0,5000,R4,1050,700,350
