Download SEP 2026 Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visit,Vessel Name,Line,Vessel Class,I/B Vyg,O/B Vyg,Phase,Est. Time of Berth,ETD,ETA,ATA,ATD,ATB,Service,Vessel Loa M,BEAM M,Berthside,Bollard Fore,Bollard Fore offset,Bollard Aft,Bollard Aft offset,Draft Forward,Draft Aft,Est Disch,Previous Port,Next Port,EST Loading,Additional Moves,Total Moves,vessel berth,Bollard Fore Meter,Bollard Aft Meter,"LOA Check (Fore-Aft, m)"
VSEP001,SINGAPORE SEP,TSL,TSSN,TSGP2806W,TSGP2806W,Inbound,04-09-2026 0800,06-09-2026 1900,30-10-2026 1900,,,,ADHOC,260,32,Starboardside,291,0,31,0,,,0,,JIB,0,0,0,R1,291,31,260
VSEP002,DANIEL A SEP,ARL,DANI,IRS203W226,IRS203W226,Inbound,05-09-2026 0200,06-09-2026 0500,05-09-2026 0001,,,,TRI-NB,155,24.5,Portside,1044,0,1199,0,,,500,AQJ,NSA,657,0,1157,R4,1044,1199,-155
VSEP003,SIMONA SEP,MSC,SIMO,IS834R,IS834R,Inbound,05-09-2026 1600,07-09-2026 1900,05-09-2026 1400,,,,ADHOC,366,51,Starboardside,850,0,484,0,16.6,16.6,2136,AKI,JIB,2898,0,5034,R3,850,484,366
VSEP004,CMA CGM PELLEAS SEP,CMA,CCPE,200MXOYE201MA,200MXOYE201MA,Inbound,06-09-2026 0900,07-09-2026 1400,06-09-2026 0700,,,,MEDEX-E,350,42,Portside,946,0,1297,0,,,1129,,PIR,1200,0,2329,R4,946,1297,-351
VSEP005,CMA CGM MAPUTO SEP,CMA,CMAP,PHXSSSE219,PHXSSSE219,Inbound,06-09-2026 2100,08-09-2026 0700,06-09-2026 1900,,,,MED5,175,27,Starboardside,248,0,73,0,,,394,,SHK,1375,0,1769,R1,248,73,175
VSEP006,CMA CGM APOLLON SEP,CMA,APOL,RX2230E219,RX2230E219,Working,04-09-2026 1800,05-09-2026 2000,28-10-2026 2300,31-10-2026 0350,05-09-2026 2000,31-10-2026 0320,RES2EB,366,42,Starboardside,850,0,484,0,14.2,14.2,2888,JIB,SOK,1586,0,4474,R3,850,484,366
VSEP007,CUL HUMEN SEP,CUL,CHMN,CUHM2835W,CUHM2835W,Working,03-09-2026 1000,05-09-2026 0300,03-09-2026 0300,03-09-2026 1032,05-09-2026 0300,03-09-2026 1000,REX-2,184,30,Portside,1030,0,1213,0,9.1,9.5,746,PKG,SOK,642,0,1388,R4,1030,1213,-183
VSEP008,LONG OCEAN SEP,MSC,LONG,LONG809,LONG809,Working,07-09-2026 0600,08-09-2026 1800,06-09-2026 2200,07-09-2026 0530,08-09-2026 1800,07-09-2026 0600,MAINLINE,300,38,Portside,900,0,600,0,12.5,12.8,1800,MCT,JED,2200,0,4000,R2,900,600,300
VSEP009,WEEKEND STAR SEP,TSL,WEEK,WEEK809,WEEK809,Inbound,08-09-2026 0400,09-09-2026 0800,08-09-2026 0100,,,,REGIONAL,250,34,Starboardside,350,0,100,0,10.2,10.5,950,KHI,JIB,800,0,1750,R2,350,100,250
VSEP010,HARBOUR GIANT SEP,CMA,GIANT,GIANT909,GIANT909,Working,09-09-2026 1000,10-09-2026 1600,08-09-2026 2000,09-09-2026 0900,10-09-2026 1600,09-09-2026 1000,MEDEX,350,44,Portside,1050,0,700,0,13.8,14.1,2400,SIN,PIR,2600,0,5000,R4,1050,700,350
