Displaying 10 item(s) at 2026-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visit,Vessel Name,Line,Vessel Class,I/B Vyg,O/B Vyg,Phase,Est. Time of Berth,ETD,ETA,ATA,ATD,ATB,Service,Vessel Loa M,BEAM M,Berthside,Bollard Fore,Bollard Fore offset,Bollard Aft,Bollard Aft offset,Draft Forward,Draft Aft,Est Disch,Previous Port,Next Port,EST Loading,Additional Moves,Total Moves,vessel berth,Bollard Fore Meter,Bollard Aft Meter,"LOA Check (Fore-Aft, m)"
TSSNTSGP2606W,TS SINGAPORE,TSL,TSSN,TSGP2606W,TSGP2606W,Inbound,26-Sep-02 0800,26-Sep-04 1900,30-08-2026 1900,,,,ADHOC,260,32,Starboardside,1R19,6,1R2,1,,,,,JIB,,,,R1,291,31,0
TROD25618,TRANSMAR ODYSSEY,AET,TROD,25618,25618,Inbound,26-Sep-02 1800,26-Sep-03 1900,02-09-2026 1700,,,,RES,161,25,Starboardside,4B15,-5,4B4,-1,,,520,,EGADA,400,,920,B4,1583,1422,0
TSMNKRTM2634E,KR TASMAN,CUL,TSMN,KRTM2634E,KRTM2634E,Inbound,26-Sep-03 0100,26-Sep-05 0500,2026-09-02 2300,,,,REX-2,192,28,Starboardside,6B47,-9,6B36,4,,,851,PKG,SOK,900,,1751,B6,2099,1907,0
DANIIRS03W26,DANIEL A,ARL,DANI,IRS03W26,IRS03W26,Inbound,26-Sep-03 0200,26-Sep-04 0500,03-09-2026 0001,,,,TRI-NB,155,24.5,Portside,4R12,4,4R23,-6,,,500,AQJ,NSA,657,,1157,R4,1044,1199,0
DKUT003,DEDE KORKUT,ZSL,DKUT,003,003,Inbound,26-Sep-03 0600,26-Sep-04 1100,26-08-2026 1900,,,,ADHOC,210,31,Starboardside,5B33,0,5B19,0,,,1038,,JIB,,,1038,B5,1858,1648,0
SIMOIS636E,MSC SIMONA,MSC,SIMO,IS634R,IS634R,Inbound,26-Sep-03 1600,26-Sep-05 1900,2026-09-03 1400,,,,ADHOC,366,51,Starboardside,3R65,0,2R37,-2,16.6,16.6,2136,AKI,JIB,2898,,5034,R3,850,484,0
TENVTNVN2632E,TEN VENUS ,CUL,TENV,TNVN2632E,TNVN2632E,Inbound,26-Sep-04 0100,26-Sep-07 0800,2026-09-03 2300,,,,REX-2,175,27.5,Starboardside,4B15,3,4B3,7,,,970,PKG,SOK,1000,,1970,B4,1591,1415,1
CCPE0MXOYE1MA,CMA CGM PELLEAS,CMA,CCPE,0MXOYE1MA,0MXOYE1MA,Inbound,26-Sep-04 0900,26-Sep-05 1400,04-09-2026 0700,,,,MEDEX-E,350,42,Portside,4R6,-4,4R29,2,,,1129,,PIR,1200,,2329,R4,946,1297,1
KHDZKDHZ2636W,KAI DA HONG ZHOU,CUL,KHDZ,KDHZ2636W,KDHZ2636W,Inbound,26-Sep-04 1300,26-Sep-06 0300,04-09-2026 1100,,,,ADHOC,149,24,Starboardside,5B31,-1,5B21,1,,,589,,JIB,620,,1209,B5,1827,1679,-1
CMAPPHXSSSE19,CMA CGM MAPUTO,CMA,CMAP,PHXSSSE19,PHXSSSE19,Inbound,26-Sep-04 2100,26-Sep-06 0700,04-09-2026 1900,,,,MED5,175,27,Starboardside,1R17,-7,1R5,-2,,,394,,SHK,1375,,1769,R1,248,73,0
APOLRX2030E19,CMA CGM APOLLON,CMA,APOL,RX2030E19,RX2030E19,Working,26-Sep-02 1800,26-Sep-03 2000,28-08-2026 2300,26-Aug-31 0350,,2026-08-31 0320,RES2EB,366,,Starboardside,3R65,0,2R37,-2,14.2,14.2,2888,JIB,SOK,1586,,4474,R3,850,484,0
CHMNCUHM2635W,CUL HUMEN,CUL,CHMN,CUHM2635W,CUHM2635W,Working,26-Sep-01 1000,26-Sep-03 0300,2026-09-01 0300,26-Sep-01 1032,,01-09-2026 1000,REX-2,184,,Portside,4R11,5,4R24,-7,9.1,9.5,746,PKG,SOK,642,,1388,R4,1030,1213,-1
LDRB2602S,LDR BEDEL,OVP,LDRB,2602N,2602N,Working,26-Sep-01 1600,26-Sep-03 0400,01-09-2026 1100,26-Sep-01 1715,,01-09-2026 1700,ADHOC,113,,Starboardside,5B30,-3,5B22,3,6.6,7.7,175,,JIB,63,,238,B5,1810,1696,1
